Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
Heater Dutycycle,60,0.2110721514033989,0.003912055669002849,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,60,1.2923635184119442,0.023952937396053375,1.0,IBS_N
2.5V_PCU_ELB,70,-1.4757887550668851,-0.047444533905555954,0.9999999999999998,IBS_N
Radial Distance from Sun,70,0.1489960102992804,0.004790012282019585,0.9999999999999998,IBS_N
Electronic Box Temperature,70,1.2547107374703534,0.04033718641722497,0.9999999999999998,IBS_N
Outboard Sensor Temperature,70,-1.456718094367623,-0.04683143897239495,0.9999999999999998,IBS_N
Inboard Sensor Temperature,70,-0.094530170230117,-0.0030390120884052256,0.9999999999999998,IBS_N
Search Coil Magnetometer's Temperature,70,-0.8320564724161224,-0.02674944593617998,0.9999999999999998,IBS_N
Solar Array's Angle,70,42.54200210292894,1.3676655647719502,0.9999999999999998,IBS_N
High Gain Antenna Azimuth,70,-8.254473826065986,-0.2653697298944134,0.9999999999999998,IBS_N
Heater Dutycycle,70,0.2823940807736145,0.009078572725257578,0.9999999999999998,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,70,-1.008976477585609,-0.03243717539950308,0.9999999999999998,IBS_N
2.5V_PCU_ELB,80,-0.9999030590137692,0.09100805508525207,1.0000000000000002,IBS_N
Radial Distance from Sun,80,0.0949512276215294,-0.008642164333726136,1.0000000000000002,IBS_N
Electronic Box Temperature,80,0.67717567906337,-0.06163441640370409,1.0000000000000002,IBS_N
Outboard Sensor Temperature,80,0.3254152288122084,-0.02961827829442969,1.0000000000000002,IBS_N
Inboard Sensor Temperature,80,0.5162865698564538,-0.046990791922984776,1.0000000000000002,IBS_N
Search Coil Magnetometer's Temperature,80,-0.3206394275889807,0.029183599775465644,1.0000000000000002,IBS_N
Solar Array's Angle,80,-8.067659581967767,0.7342931907508782,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,80,-3.7759691972188656,0.3436769290811595,1.0000000000000002,IBS_N
Heater Dutycycle,80,0.2205004861684627,-0.02006926592597611,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,80,0.3428689093413848,-0.0312068578119345,1.0000000000000002,IBS_N
2.5V_PCU_ELB,90,-0.4581092447478783,-0.15387346137559987,0.9999999999999996,IBS_N
Radial Distance from Sun,90,0.0514368917169726,0.017277041800910203,0.9999999999999996,IBS_N
Electronic Box Temperature,90,0.6611916304915807,0.22208642585309307,0.9999999999999996,IBS_N
Outboard Sensor Temperature,90,-0.5122186704727986,-0.17204817564909516,0.9999999999999996,IBS_N
Inboard Sensor Temperature,90,0.7523360273990934,0.252700747650657,0.9999999999999996,IBS_N
Search Coil Magnetometer's Temperature,90,1.0736445500206218,0.36062446914740326,0.9999999999999996,IBS_N
Solar Array's Angle,90,13.713280547650058,4.606128273711003,0.9999999999999996,IBS_N
High Gain Antenna Azimuth,90,-13.922600567770514,-4.676436385586962,0.9999999999999996,IBS_N
Heater Dutycycle,90,-0.0963424627143325,-0.03236029044439551,0.9999999999999996,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,90,1.7145629426981952,0.5759013548929859,0.9999999999999996,IBS_N
2.5V_PCU_ELB,100,0.3466405258283123,-0.005625939795034195,1.0,IBS_N
Radial Distance from Sun,100,-0.0158376946138471,0.0002570441415547946,1.0,IBS_N
Electronic Box Temperature,100,-0.0177335921201454,0.00028781436151826347,1.0,IBS_N
Outboard Sensor Temperature,100,0.7036773209310274,-0.011420609962522655,1.0,IBS_N
Inboard Sensor Temperature,100,-0.8241373423927273,0.01337566362173534,1.0,IBS_N
Search Coil Magnetometer's Temperature,100,0.0939432952277384,-0.00152468994164909,1.0,IBS_N
Solar Array's Angle,100,-41.64664085559995,0.6759206632263879,1.0,IBS_N
